Invoice Date,Invoice ID,Invoice Number,Invoice Status,Customer ID,Customer Name,Is Inclusive Tax,Due Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Template Name,Entity Discount Percent,SubTotal,Total,Balance,Adjustment,Adjustment Description,Expected Payment Date,Last Payment Date,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Entity Discount Amount,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Item Name,Item Desc,Quantity,Discount,Discount Amount,Item Total,Usage unit,Item Price,Product ID,Sales Order Number,Expense Reference ID,Recurrence Name,PayPal,Authorize.Net,Google Checkout,Payflow Pro,Stripe,Paytm,2Checkout,Braintree,Forte,WorldPay,Payments Pro,Square,WePay,Razorpay,GoCardless,Partial Payments,Billing Attention,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Attention,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone Number,SKU,Project ID,Project Name,Round Off,Sales person,Subject,Primary Contact EmailID,Primary Contact Mobile,Primary Contact Phone,Estimate Number,Custom Charges,Shipping Bill#,Shipping Bill Date,Shipping Bill Total,PortCode,Account,Account Code,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type
2022-05-27,3262759000000080001,INV-000001,Closed,3262759000000078001,Sales,false,2022-05-27,,MVR,1.00,entity_level,true,Standard Template,0.00,685.00,726.10,0.00,0.00,Adjustment,,2022-05-27,0,Due on Receipt,Thanks for your business.,,0.000,0.00,,,,,,Blockboard 8x4FT White 18MM,,1,0.00,0.0,685.00,,685.00,3262759000000079001,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,41.10,ItemAmount
2022-06-26,3262759000000117001,INV-000005,Closed,3262759000000116001,Sales ,true,2022-06-26,,MVR,1.00,item_level,true,Compact,0.00,1688.68,1845.00,0.00,0.00,,,2022-06-26,0,Due on Receipt,Thanks for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,55.00,,,,,,SLAT BOARD 4X8FT 15MM 11 ALU,,1,0.00,0.000,1122.64,pcs,1190.00,3262759000000085289,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,67.36,ItemAmount
2022-06-26,3262759000000117001,INV-000005,Closed,3262759000000116001,Sales ,true,2022-06-26,,MVR,1.00,item_level,true,Compact,0.00,1688.68,1845.00,0.00,0.00,,,2022-06-26,0,Due on Receipt,Thanks for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,55.00,,,,,,"10"" SLAT BOARD HOOK STEEL",,50,0.00,0.000,566.04,pcs,12.00,3262759000000085037,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,33.96,ItemAmount
2022-06-26,3262759000000123009,INV-000007,Closed,3262759000000118027,Umber Private Limite  C-1/7943236 Sh.kanditheemu,true,2022-06-26,,MVR,1.00,item_level,true,Compact,0.00,264.15,280.00,0.00,0.00,,,2022-06-26,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,Aluminum Foil Box 8368 With Lid 680Ml 1 x 900pcs UAE,,100,0.00,0.000,150.94,pcs,1.60,3262759000000085460,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,9.06,ItemAmount
2022-06-26,3262759000000123009,INV-000007,Closed,3262759000000118027,Umber Private Limite  C-1/7943236 Sh.kanditheemu,true,2022-06-26,,MVR,1.00,item_level,true,Compact,0.00,264.15,280.00,0.00,0.00,,,2022-06-26,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,ALUMINIUM FOIL BOX 8325,,100,0.00,0.000,113.21,pcs,1.20,3262759000000085190,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,6.79,ItemAmount
2022-06-26,3262759000000125001,INV-000008,Closed,3262759000000124001,Plaza ,true,2022-06-26,,MVR,1.00,item_level,true,Compact,0.00,1698.11,1800.00,0.00,0.00,,,2022-06-26,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,Mesh hook 6 inch,,150,0.00,0.000,1698.11,pcs,12.00,3262759000000113318,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,101.89,ItemAmount
2022-06-27,3262759000000113621,INV-000009,Closed,3262759000000078001,Sales,true,2022-06-27,,MVR,1.00,item_level,true,Compact,0.00,1792.46,1900.00,0.00,0.00,,,2022-06-27,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,METAL WIRE STAND L900XW300X1800MM,,2,0.00,0.000,1226.42,pcs,650.00,3262759000000085091,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,73.58,ItemAmount
2022-06-27,3262759000000113621,INV-000009,Closed,3262759000000078001,Sales,true,2022-06-27,,MVR,1.00,item_level,true,Compact,0.00,1792.46,1900.00,0.00,0.00,,,2022-06-27,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,"NET HOOK 10"" STEEL",,50,0.00,0.000,566.04,pcs,12.00,3262759000000085073,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,33.96,ItemAmount
2022-06-27,3262759000000128059,INV-000010,Closed,3262759000000116001,Sales ,true,2022-06-27,,MVR,1.00,item_level,true,Compact,0.00,329.25,349.00,0.00,0.00,,,2022-07-02,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,SAWDUST CHARCOAL 10KG (CHARCOAL),,1,0.00,0.000,329.25,pcs,349.00,3262759000000085253,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,Sales,,3262759000000076060,GST,6.00,19.75,ItemAmount
2022-06-27,3262759000000130001,INV-000011,Closed,3262759000000129001,Fanvai grosers G.2,true,2022-06-27,7796033,MVR,1.00,item_level,true,Compact,0.00,4391.51,4655.00,0.00,0.00,,,2022-06-27,0,Due on Receipt,Thank you for your business.,"Please transfer payments to 

Bank of Maldives MVR Account
Account number :7701137359001 
Name: Mohamed R Hussain

State bank of India MVR Account
Account name: MRH Investment Pvt Ltd
Account number: 12608912520202

Confirm goods before transportation.
Goods are non refundable.",0.0,0.00,,,,,,MART RACK STEEL 1.8M 5 TIER Double,,2,5.00,231.130,4391.51,pcs,2450.00,3262759000000085010,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,7796033,,,,,,,Sales,,3262759000000076060,GST,6.00,263.49,ItemAmount
