Purchase Order ID,Purchase Order Date,Delivery Date,Purchase Order Number,Reference#,Purchase Order Status,Vendor Name,Is Inclusive Tax,Currency Code,Exchange Rate,Template Name,Reference No,Delivery Instructions,Terms & Conditions,Shipment preference,Expected Arrival Date,Account,Account Code,Item Price,Item Name,Product ID,SKU,Item Desc,QuantityOrdered,QuantityCancelled,QuantityReceived,QuantityBilled,Usage unit,Discount,Discount Amount,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Total,Total,Adjustment,Adjustment Description,Discount Type,Is Discount Before Tax,Entity Discount Percent,Entity Discount Amount,Discount Account,Discount Account Code,Project ID,Project Name,Payment Terms,Payment Terms Label,Attention,Address,City,State,Country,Code,Phone,Deliver To Customer,Recipient Address,Recipient City,Recipient State,Recipient Country,Recipient Postal Code,Recipient Phone,Item.CF.pcs/bag,Item.CF.bags/box,Item.CF.pcs/box
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,796.74,MART RACK STEEL 2.0M 6 TIER Single,3262759000000085001,,,100,0,0,100,pcs,0.00,0.000,,,,,,79674.00,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,1111.48,MART RACK STEEL 1.8M 5 TIER Double,3262759000000085010,,,80,0,0,80,pcs,0.00,0.0,,,,,,88918.40,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,625.98,MART RACK END SHELF SET (ROUND) STEEL,3262759000000085019,,,20,0,0,20,pcs,0.00,0.0,,,,,,12519.60,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,1858.90,CH 33 4 LAYER STEEL RACK 1800X600X2000MM,3262759000000085109,,,10,0,0,10,pcs,0.00,0.0,,,,,,18589.00,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,1103.97,RD8A BLACK SINGLE RACK 350*900*1950MM STEEL,3262759000000085163,,,20,0,0,20,pcs,0.00,0.0,,,,,,22079.40,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,1403.69,RD8A BLACK DOUBLE RACK 350*900*1550MM STEEL,3262759000000085145,,,20,0,0,20,pcs,0.00,0.0,,,,,,28073.80,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,800.50,RD8A BLACK END RACK 350*700*1550MM STEEL,3262759000000085154,,,10,0,0,10,pcs,0.00,0.0,,,,,,8005.00,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,1119.24,Office Rack Large,3262759000000090091,,,5,0,0,5,pcs,0.00,0.0,,,,,,5596.20,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,664.03,L SIZE SPRAY PAINT STEEL WIRE STAND 900X430X1400MM,3262759000000322001,,,15,0,0,15,pcs,0.00,0.0,,,,,,9960.45,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
3262759000000774097,2022-09-01,,PO-00001,,Billed,Guangzhou container,false,MVR,1.000000,Standard Template,,,,,,Inventory Asset,,512.05,S SIZE SPRAY PAINT STEEL WIRE STAND L490XW430XH1360MM,3262759000000322042,,,10,0,0,10,pcs,0.00,0.0,,,,,,5120.50,288796.15,0.00,Adjustment,entity_level,true,0.00,0.000,,,,,0,Due on Receipt,MRH  Investment,MRH Investment Pvt Ltd,Rahdhebai Magu ,Male,Maldives,7609237,7609237,,,,,,,,,,
